	mean	std
51479	1797.5457477915982	973.5454277147907
54882	1988.5011693708332	1051.6348971089421
56172	2054.4840082206547	2216.9177053769795
54467	1437.2957135929346	1061.2946373151178
255239	15.2885231837029	27.224976425386657
126549	41.47359515053199	110.02572954996991
23141	1749.3330940328121	710.6823496738846
51281	226.19405711195267	146.24745841875392
57037	477.1405752478814	238.9247121964694
57763	291.9423241572014	135.1925629652692
55608	1551.3755645574197	940.9485490517498
29123	2620.3358199026457	1150.8686502809496
23253	976.1500087614907	635.7804803775618
88455	1310.9842650621943	732.0672283647172
124930	273.82657299441183	285.0618692237838
81573	533.5160545880664	173.77463404685182
338692	791.3180082026308	588.5949556549797
54522	176.33084510546237	90.0475108570641
26057	2275.9476265008157	1090.710139751252
27063	51.48175806742386	318.9749497327101
441425	15.45423818280149	35.10936441150579
728747	2.3803215612042457	7.487375543556842
118932	342.90676178114364	502.1528418007682
200539	74.63449945916706	388.20787006700436
170961	65.7635213809264	107.4819734910887
22852	203.6711547863703	146.13636682838305
84079	891.7058952586976	541.5336554117029
23243	1227.4172595276734	1146.6117962041435
147463	123.56719650261404	214.31310002874724
26287	28.1897446547683	169.04494954213135
374860	36.15317422029922	270.20897930739864
256006	1.585959888227873	2.928557799899206
84250	161.1247537768172	114.37509060967575
284615	44.09175101856862	75.91678113003415
340120	24.330683919235586	137.73151322046095
148741	117.61882718586617	229.84479160053132
57730	39.95383073733549	94.591943592599
375248	188.43508278348702	304.39360874237786
353322	204.82070658013367	287.680809654952
51239	231.2302158103483	207.5074048436557
91369	1376.050026446729	661.6879874506448
338699	260.1075994411395	143.60570812691134
134548	124.64362042545542	252.58521647671475
91526	112.67340677843856	198.0591462028948
339416	36.97883976924452	84.53924590495441
157567	530.0616148007922	401.31422860645375
54851	276.34954350099116	141.32236284057416
57182	947.2819569136476	1101.5065821109822
283373	1544.4914357670787	786.9720752234128
79998	20.9181795925725	32.822489937047024
129138	528.0501936181729	289.61507085954634
79722	6.9411515413737055	21.46777756105982
345079	142.99330784207672	183.38896861243515
65124	786.3033669370819	847.6763227239858
347454	29.213948206237593	57.42966084215937
63926	209.60324168018792	174.86880813144705
22881	307.52348581214983	298.0035892257523
56311	5.10184414999098	15.479568650104074
122416	175.8860432486027	194.27237609960335
23294	1339.6189804579	1788.3007234664756
56899	105.99276773030465	274.45291585907097
124401	382.8887493059333	285.14068414208623
257629	110.79884393365806	270.70157857971617
203286	611.387235965387	409.6950165072384
55139	741.0927697133592	358.9458476987088
54443	1054.8352718586614	1181.7829255190475
55129	697.5111111231291	379.21114808314394
55107	1685.2826297277863	3765.721517334438
57101	27.32052156120424	84.00708925780299
121601	71.99933068325245	244.7570228973891
203859	118.32462491436803	219.83844811754435
196527	2089.868849846762	1359.629057623127
50636	232.21311564809744	1005.7412957943963
57719	364.14140948260274	355.4964991287118
338440	368.6527268613669	563.2110718691977
8125	2791.768415900483	1024.3537204443703
10541	3269.124092374255	1570.3401649460848
81611	1734.7659101856832	1204.8765934557462
290	3785.0275931314395	10511.349797043396
84168	3113.2681499188743	3166.234629987831
118429	1135.753429168919	1390.370630453872
93550	132.91808027762764	84.1639691585328
11199	183.68803030466913	931.9450847205468
311	4429.48049048134	2818.8333916094957
312	150.72645285740052	629.3091371710532
